user_id,title,description,rating,task_id
1,metus sit amet,"cursus et, magna. Praesent interdum ligula eu enim. Etiam imperdiet",4,1
2,diam,"Donec consectetuer mauris id sapien. Cras dolor dolor, tempus non,",5,2
3,"dolor, nonummy ac, feugiat","blandit. Nam nulla magna, malesuada vel, convallis in, cursus et,",1,3
4,netus et malesuada fames,"a, malesuada id, erat. Etiam vestibulum massa rutrum magna. Cras",2,4
5,"Duis elementum, dui quis","at augue id ante dictum cursus. Nunc mauris elit, dictum",0,5
6,"a, arcu.",a mi fringilla mi lacinia mattis. Integer eu lacus. Quisque,2,6
7,"lectus. Nullam suscipit,","metus. Aenean sed pede nec ante blandit viverra. Donec tempus,",1,7
8,massa.,"tellus, imperdiet non, vestibulum nec, euismod in, dolor. Fusce feugiat.",3,8
9,Proin vel arcu,In at pede. Cras vulputate velit eu sem. Pellentesque ut,0,9
10,Integer,Aliquam ultrices iaculis odio. Nam interdum enim non nisi. Aenean,0,10
11,"vitae,","lorem ipsum sodales purus, in molestie tortor nibh sit amet",3,11
12,vitae velit,sapien molestie orci tincidunt adipiscing. Mauris molestie pharetra nibh. Aliquam,5,12
13,"ante, iaculis nec,",massa rutrum magna. Cras convallis convallis dolor. Quisque tincidunt pede,3,13
14,"felis, adipiscing fringilla, porttitor",fermentum arcu. Vestibulum ante ipsum primis in faucibus orci luctus,5,14
15,sociis natoque,"non ante bibendum ullamcorper. Duis cursus, diam at pretium aliquet,",4,15
16,Morbi,odio. Phasellus at augue id ante dictum cursus. Nunc mauris,5,16
17,ullamcorper,"elementum sem, vitae aliquam eros turpis non enim. Mauris quis",0,17
18,nisi. Aenean eget metus.,Cras pellentesque. Sed dictum. Proin eget odio. Aliquam vulputate ullamcorper,3,18
19,risus quis diam,Sed eget lacus. Mauris non dui nec urna suscipit nonummy.,2,19
20,Mauris quis turpis vitae,"nec, eleifend non, dapibus rutrum, justo. Praesent luctus. Curabitur egestas",1,20
21,"nec, diam. Duis mi",eleifend. Cras sed leo. Cras vehicula aliquet libero. Integer in,0,21
22,metus. In nec,nec tempus mauris erat eget ipsum. Suspendisse sagittis. Nullam vitae,5,22
23,"sollicitudin a, malesuada","ut, sem. Nulla interdum. Curabitur dictum. Phasellus in felis. Nulla",1,23
24,vitae,mus. Aenean eget magna. Suspendisse tristique neque venenatis lacus. Etiam,0,24
25,"et, euismod","congue a, aliquet vel, vulputate eu, odio. Phasellus at augue",1,25
