name,description,status,price,category_id,author_id,executor_id,city_id,latitude,longitude
eu nulla at sem molestie sodales. Mauris blandit enim consequat,"vitae, posuere at, velit. Cras lorem lorem, luctus ut, pellentesque eget, dictum placerat, augue. Sed molestie. Sed id risus quis",new,82783,7,1,1,1,21.11375,-136.87455
"consectetuer adipiscing elit. Etiam laoreet, libero et tristique pellentesque, tellus","mauris a nunc. In at pede. Cras vulputate velit eu sem. Pellentesque ut ipsum ac mi eleifend egestas. Sed pharetra,",cancelled,21978,3,2,2,2,-41.61789,-172.36833
"semper erat, in consectetuer ipsum nunc id enim. Curabitur massa.","lobortis tellus justo sit amet nulla. Donec non justo. Proin non massa non ante bibendum ullamcorper. Duis cursus, diam at",progress,54652,7,3,3,3,-47.82823,-141.28933
Cras eget nisi dictum augue malesuada malesuada. Integer id magna,"ut eros non enim commodo hendrerit. Donec porttitor tellus non magna. Nam ligula elit, pretium et, rutrum non, hendrerit id,",progress,53733,7,4,4,4,-14.25605,-90.43506
"malesuada id, erat. Etiam vestibulum massa rutrum magna. Cras convallis","massa. Integer vitae nibh. Donec est mauris, rhoncus id, mollis nec, cursus a, enim. Suspendisse aliquet, sem ut cursus luctus,",completed,57395,6,5,5,5,-57.522,-98.62612
"lorem ipsum sodales purus, in molestie tortor nibh sit amet","lobortis risus. In mi pede, nonummy ut, molestie in, tempus eu, ligula. Aenean euismod mauris eu elit. Nulla facilisi. Sed",completed,46491,1,6,6,6,49.9197,-169.13877
"Proin mi. Aliquam gravida mauris ut mi. Duis risus odio,","nulla ante, iaculis nec, eleifend non, dapibus rutrum, justo. Praesent luctus. Curabitur egestas nunc sed libero. Proin sed turpis nec",cancelled,85131,1,7,7,7,79.3824,96.95868
"consectetuer rhoncus. Nullam velit dui, semper et, lacinia vitae, sodales",posuere cubilia Curae; Donec tincidunt. Donec vitae erat vel pede blandit congue. In scelerisque scelerisque dui. Suspendisse ac metus vitae,cancelled,1801,2,8,8,8,-4.08344,33.35949
molestie. Sed id risus quis diam luctus lobortis. Class aptent,"a, facilisis non, bibendum sed, est. Nunc laoreet lectus quis massa. Mauris vestibulum, neque sed dictum eleifend, nunc risus varius",failed,44576,6,9,9,9,-27.59406,82.49603
"sem ut dolor dapibus gravida. Aliquam tincidunt, nunc ac mattis",nunc sed libero. Proin sed turpis nec mauris blandit mattis. Cras eget nisi dictum augue malesuada malesuada. Integer id magna,progress,98854,4,10,10,10,75.28165,-103.23572
"In ornare sagittis felis. Donec tempor, est ac mattis semper,","auctor velit. Aliquam nisl. Nulla eu neque pellentesque massa lobortis ultrices. Vivamus rhoncus. Donec est. Nunc ullamcorper, velit in aliquet",completed,91856,8,11,11,11,12.89286,-49.33527
"vitae, erat. Vivamus nisi. Mauris nulla. Integer urna. Vivamus molestie","dignissim tempor arcu. Vestibulum ut eros non enim commodo hendrerit. Donec porttitor tellus non magna. Nam ligula elit, pretium et,",new,85384,6,12,12,12,83.71842,36.75008
"vel, venenatis vel, faucibus id, libero. Donec consectetuer mauris id","conubia nostra, per inceptos hymenaeos. Mauris ut quam vel sapien imperdiet ornare. In faucibus. Morbi vehicula. Pellentesque tincidunt tempus risus.",completed,83350,8,13,13,13,-89.70228,146.52935
"penatibus et magnis dis parturient montes, nascetur ridiculus mus. Donec","eu dolor egestas rhoncus. Proin nisl sem, consequat nec, mollis vitae, posuere at, velit. Cras lorem lorem, luctus ut, pellentesque",completed,25468,8,14,14,14,-46.27551,10.69149
Sed id risus quis diam luctus lobortis. Class aptent taciti,velit. Pellentesque ultricies dignissim lacus. Aliquam rutrum lorem ac risus. Morbi metus. Vivamus euismod urna. Nullam lobortis quam a felis,failed,2964,8,15,15,15,-53.95275,116.78658
"eu, ligula. Aenean euismod mauris eu elit. Nulla facilisi. Sed",nec mauris blandit mattis. Cras eget nisi dictum augue malesuada malesuada. Integer id magna et ipsum cursus vestibulum. Mauris magna.,failed,95725,2,16,16,16,-48.15456,-53.62198
Maecenas ornare egestas ligula. Nullam feugiat placerat velit. Quisque varius.,"at, egestas a, scelerisque sed, sapien. Nunc pulvinar arcu et pede. Nunc sed orci lobortis augue scelerisque mollis. Phasellus libero",failed,55488,1,17,17,17,-77.91661,90.48615
"semper egestas, urna justo faucibus lectus, a sollicitudin orci sem","pede. Praesent eu dui. Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus. Aenean eget magna. Suspendisse",cancelled,83133,2,18,18,18,-0.23817,172.29856
"est. Nunc laoreet lectus quis massa. Mauris vestibulum, neque sed","purus, in molestie tortor nibh sit amet orci. Ut sagittis lobortis mauris. Suspendisse aliquet molestie tellus. Aenean egestas hendrerit neque.",cancelled,36563,3,19,19,19,11.80141,167.8178
sed pede. Cum sociis natoque penatibus et magnis dis parturient,"amet, dapibus id, blandit at, nisi. Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus. Proin vel",cancelled,38827,7,20,20,20,-17.69658,-117.65242
"lectus quis massa. Mauris vestibulum, neque sed dictum eleifend, nunc","nunc nulla vulputate dui, nec tempus mauris erat eget ipsum. Suspendisse sagittis. Nullam vitae diam. Proin dolor. Nulla semper tellus",new,39326,6,21,21,21,45.74063,25.99134
"ipsum dolor sit amet, consectetuer adipiscing elit. Etiam laoreet, libero","arcu. Morbi sit amet massa. Quisque porttitor eros nec tellus. Nunc lectus pede, ultrices a, auctor non, feugiat nec, diam.",progress,47896,8,22,22,22,47.67455,-6.52582
"mollis. Phasellus libero mauris, aliquam eu, accumsan sed, facilisis vitae,","adipiscing fringilla, porttitor vulputate, posuere vulputate, lacus. Cras interdum. Nunc sollicitudin commodo ipsum. Suspendisse non leo. Vivamus nibh dolor, nonummy",cancelled,82830,7,23,23,23,57.69759,-130.14457
In nec orci. Donec nibh. Quisque nonummy ipsum non arcu.,consectetuer adipiscing elit. Curabitur sed tortor. Integer aliquam adipiscing lacus. Ut nec urna et arcu imperdiet ullamcorper. Duis at lacus.,progress,17307,6,24,24,24,-74.8391,-120.51203
"ipsum dolor sit amet, consectetuer adipiscing elit. Etiam laoreet, libero","sed, sapien. Nunc pulvinar arcu et pede. Nunc sed orci lobortis augue scelerisque mollis. Phasellus libero mauris, aliquam eu, accumsan",completed,20370,8,25,25,25,-65.94034,94.81044
"consectetuer mauris id sapien. Cras dolor dolor, tempus non, lacinia","pretium et, rutrum non, hendrerit id, ante. Nunc mauris sapien, cursus in, hendrerit consectetuer, cursus et, magna. Praesent interdum ligula",cancelled,24661,6,26,26,26,77.96277,163.16129
"lacus pede sagittis augue, eu tempor erat neque non quam.","ridiculus mus. Proin vel arcu eu odio tristique pharetra. Quisque ac libero nec ligula consectetuer rhoncus. Nullam velit dui, semper",failed,92881,7,27,27,27,27.33685,136.67534
Curae; Donec tincidunt. Donec vitae erat vel pede blandit congue.,"ut, pharetra sed, hendrerit a, arcu. Sed et libero. Proin mi. Aliquam gravida mauris ut mi. Duis risus odio, auctor",new,74896,5,28,28,28,-89.50911,-91.19043
"aliquam eu, accumsan sed, facilisis vitae, orci. Phasellus dapibus quam",Cras pellentesque. Sed dictum. Proin eget odio. Aliquam vulputate ullamcorper magna. Sed eu eros. Nam consequat dolor vitae dolor. Donec,cancelled,97880,5,29,29,29,50.44444,-14.38363
"adipiscing fringilla, porttitor vulputate, posuere vulputate, lacus. Cras interdum. Nunc","tincidunt dui augue eu tellus. Phasellus elit pede, malesuada vel, venenatis vel, faucibus id, libero. Donec consectetuer mauris id sapien.",failed,86831,8,30,30,30,35.40235,-61.38751
"lobortis risus. In mi pede, nonummy ut, molestie in, tempus","vitae erat vel pede blandit congue. In scelerisque scelerisque dui. Suspendisse ac metus vitae velit egestas lacinia. Sed congue, elit",progress,11104,1,31,31,31,-52.85971,135.18099
