user_id,price,comment,task_id,status
1,4052,arcu eu odio tristique pharetra. Quisque ac libero nec ligula,1,Выполнено
2,2059,at sem molestie sodales. Mauris blandit enim consequat purus. Maecenas,2,Новое
3,32003,in faucibus orci luctus et ultrices posuere cubilia Curae; Phasellus,3,Провалено
4,85460,"non, vestibulum nec, euismod in, dolor. Fusce feugiat. Lorem ipsum",4,Отменено
5,51128,"placerat, orci lacus vestibulum lorem, sit amet ultricies sem magna",5,Выполнено
6,37474,malesuada fringilla est. Mauris eu turpis. Nulla aliquet. Proin velit.,6,В работе
7,50636,tristique pharetra. Quisque ac libero nec ligula consectetuer rhoncus. Nullam,7,Выполнено
8,17320,"Phasellus at augue id ante dictum cursus. Nunc mauris elit,",8,Провалено
9,1681,Integer urna. Vivamus molestie dapibus ligula. Aliquam erat volutpat. Nulla,9,В работе
10,12179,"Quisque imperdiet, erat nonummy ultricies ornare, elit elit fermentum risus,",10,Выполнено
11,80485,rutrum magna. Cras convallis convallis dolor. Quisque tincidunt pede ac,11,В работе
12,63198,dignissim tempor arcu. Vestibulum ut eros non enim commodo hendrerit.,12,Отменено
13,95395,fermentum arcu. Vestibulum ante ipsum primis in faucibus orci luctus,13,Новое
14,39842,"Sed auctor odio a purus. Duis elementum, dui quis accumsan",14,Выполнено
15,69784,luctus et ultrices posuere cubilia Curae; Phasellus ornare. Fusce mollis.,15,Отменено
16,31929,lobortis. Class aptent taciti sociosqu ad litora torquent per conubia,16,В работе
17,63724,vitae aliquam eros turpis non enim. Mauris quis turpis vitae,17,В работе
18,81394,"Nunc ullamcorper, velit in aliquet lobortis, nisi nibh lacinia orci,",18,Новое
19,9541,"sodales nisi magna sed dui. Fusce aliquam, enim nec tempus",19,В работе
20,72139,"diam at pretium aliquet, metus urna convallis erat, eget tincidunt",20,Новое
21,21552,"justo nec ante. Maecenas mi felis, adipiscing fringilla, porttitor vulputate,",21,Новое
22,48758,enim. Mauris quis turpis vitae purus gravida sagittis. Duis gravida.,22,Новое
23,9942,vestibulum massa rutrum magna. Cras convallis convallis dolor. Quisque tincidunt,23,Новое
24,64939,venenatis lacus. Etiam bibendum fermentum metus. Aenean sed pede nec,24,Провалено
25,10493,dolor. Quisque tincidunt pede ac urna. Ut tincidunt vehicula risus.,25,В работе
26,21584,"Pellentesque ut ipsum ac mi eleifend egestas. Sed pharetra, felis",26,Провалено
27,35734,Aenean eget magna. Suspendisse tristique neque venenatis lacus. Etiam bibendum,27,Выполнено
28,61575,"feugiat non, lobortis quis, pede. Suspendisse dui. Fusce diam nunc,",28,Новое
29,16851,"lacinia. Sed congue, elit sed consequat auctor, nunc nulla vulputate",29,Выполнено
30,51952,"et magnis dis parturient montes, nascetur ridiculus mus. Aenean eget",30,Провалено
31,37823,"non leo. Vivamus nibh dolor, nonummy ac, feugiat non, lobortis",31,Новое
32,63548,"natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus.",32,Выполнено
33,5911,dapibus quam quis diam. Pellentesque habitant morbi tristique senectus et,33,Отменено
34,87133,"commodo hendrerit. Donec porttitor tellus non magna. Nam ligula elit,",34,Выполнено
35,34098,"gravida. Aliquam tincidunt, nunc ac mattis ornare, lectus ante dictum",35,Выполнено
36,48281,"ornare, libero at auctor ullamcorper, nisl arcu iaculis enim, sit",36,В работе
37,9951,"In mi pede, nonummy ut, molestie in, tempus eu, ligula.",37,В работе
38,40916,neque non quam. Pellentesque habitant morbi tristique senectus et netus,38,В работе
39,22821,"facilisis eget, ipsum. Donec sollicitudin adipiscing ligula. Aenean gravida nunc",39,Новое
40,27484,"Fusce mi lorem, vehicula et, rutrum eu, ultrices sit amet,",40,Выполнено
41,58628,"sit amet, faucibus ut, nulla. Cras eu tellus eu augue",41,Выполнено
42,7688,"Cras vehicula aliquet libero. Integer in magna. Phasellus dolor elit,",42,Отменено
43,23639,at sem molestie sodales. Mauris blandit enim consequat purus. Maecenas,43,Провалено
44,91234,"justo. Proin non massa non ante bibendum ullamcorper. Duis cursus,",44,Новое
45,40649,"semper, dui lectus rutrum urna, nec luctus felis purus ac",45,В работе
46,42348,"porttitor tellus non magna. Nam ligula elit, pretium et, rutrum",46,Новое
47,9226,in consequat enim diam vel arcu. Curabitur ut odio vel,47,Отменено
48,84375,"natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus.",48,Провалено
49,59905,turpis egestas. Aliquam fringilla cursus purus. Nullam scelerisque neque sed,49,Отменено
50,42441,"eget tincidunt dui augue eu tellus. Phasellus elit pede, malesuada",50,В работе
51,21371,cursus. Integer mollis. Integer tincidunt aliquam arcu. Aliquam ultrices iaculis,51,В работе
52,65891,velit. Quisque varius. Nam porttitor scelerisque neque. Nullam nisl. Maecenas,52,Выполнено
53,19122,"dolor dolor, tempus non, lacinia at, iaculis quis, pede. Praesent",53,Новое
54,70185,quis urna. Nunc quis arcu vel quam dignissim pharetra. Nam,54,Новое
55,12406,"aliquam, enim nec tempus scelerisque, lorem ipsum sodales purus, in",55,В работе
